sku,infoDate,competitionType,competitor,competitorSku,label,price,currency,priceUnit,unitOfMeasure,priceType,priority,comments,country,source
MB-0022,2016-01-27T14:28:41,Online,rc-toy.de,,90191. 25 - Graupner Halterung Stabilisator,8.37,EUR,1,1,Online,,,de,idealo
MB-0022,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Halterung Stabilisator,8.39,EUR,1,1,Online,,,de,idealo
MB-0022,2016-01-27T14:28:41,Online,eBay - rc-toy,,90191. 25 -- Graupner Halterung Stabilisator,8.99,EUR,1,1,Online,,,de,idealo
MB-0022,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 90191. 25 -- Halterung Stabilisator,11.48,EUR,1,1,Online,,,de,idealo
MB-0023,2016-01-27T14:28:41,Online,voltmaster.de,,Graupner - Taumelscheibe und Anlenkungen (4484. 05),5,EUR,1,1,Online,,,de,idealo
MB-0023,2016-01-27T14:28:41,Online,rc-toy.de,,4484. 05 - Graupner Taumelscheibe und Anlenkungen,8.99,EUR,1,1,Online,,,de,idealo
MB-0023,2016-01-27T14:28:41,Online,eBay - rc-toy,,4484. 05 -- Graupner Tau-melscheibe und Anlen-kungen,8.99,EUR,1,1,Online,,,de,idealo
MB-0023,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Tau-melscheibe und Anlen-kungen,11.48,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,eBay - modellsport-boehm,,Graupner K&uu-ml;hlwasserspirale 48-m-m (3325. 2),10.19,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,rc-toy.de,,3325.2 - Graupner Kühlwasserspirale f. SPEED 820RACE,10.34,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,Amazon Marketplace,,Graupner 3325.2 -- K&uu-ml;hlwasserspirale f&uu-ml;r SPEED 820RACE,10.34,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Kühlwasserspirale f. SPEED 820RACE,12.65,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,eBay - rc-toy,,3325.2 -- Graupner K&uu-ml;hlwasserspirale f. SPEED 820RACE,13.4,EUR,1,1,Online,,,de,idealo
MB-0024,2016-01-27T14:28:41,Online,Amazon,,Graupner 3325.2 -- K&uu-ml;hlwasserspirale f&uu-ml;r SPEED 820RACE,16.91,EUR,1,1,Online,,,de,idealo
MB-0025,2016-01-27T14:28:41,Online,rc-toy.de,,"92604. 28 - Graupner Kugellager, vorne",8.5,EUR,1,1,Online,,,de,idealo
MB-0025,2016-01-27T14:28:41,Online,d-edition.de,,"Graupner Kugellager, vorne",8.55,EUR,1,1,Online,,,de,idealo
MB-0025,2016-01-27T14:28:41,Online,eBay - rc-toy,,"92604. 28 -- Graupner Kugellager, vorne",8.99,EUR,1,1,Online,,,de,idealo
MB-0025,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,"Graupner 92604. 28 -- Kugellager, vorne",11.48,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,rc-toy.de,,3069.4 - Graupner Adapterkabel Micro 47G(XH)-Gr. LiPo-Lader,6.75,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Adapterkabel Micro 47G(XH)-Gr. LiPo-Lader,6.8,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 3069.4  Adapterkabel Micro 47G(XH)Gr. LiPoLader,7.82,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,Amazon,,Graupner 3069.4  Adapterkabel Micro 47G(XH)Gr. LiPoLader,8.95,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,eBay - rc-toy,,3069.4  Graupner Adapterkabel Micro 47G(XH)Gr. LiPoLader,8.99,EUR,1,1,Online,,,de,idealo
MB-0001,2016-04-12T13:06:40,Online,Amazon Marketplace - TKT-Shop,,Graupner 3069.4  Adapterkabel Micro 47G(XH)Gr. LiPoLader,8.99,EUR,1,1,Online,,,de,idealo
MB-0002,2016-04-12T13:06:40,Online,rc-toy.de,,"375.11 - Graupner Mechaniker, stehendM1: 20",6.75,EUR,1,1,Online,,,de,idealo
MB-0002,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Mechaniker stehend M1:20 Figur,6.8,EUR,1,1,Online,,,de,idealo
MB-0002,2016-04-12T13:06:40,Online,Amazon Marketplace,,"Graupner 375.11  Mechaniker, stehend M1:20",7.6,EUR,1,1,Online,,,de,idealo
MB-0002,2016-04-12T13:06:40,Online,Amazon Marketplace,,"Graupner 375.11  Mechaniker, stehend M1:20",9.99,EUR,1,1,Online,,,de,idealo
MB-0002,2016-04-12T13:06:40,Online,eBay - fun-car-shop,,"Mechaniker, stehend M1:20 Graupner 375.11",11.99,EUR,1,1,Online,,,de,idealo
MB-0003,2016-04-12T13:06:40,Online,rc-toy.de,,"1023. 1.B - Graupner Ruderhorn mit 3-Punktbefestig., blau",7.77,EUR,1,1,Online,,,de,idealo
MB-0003,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 1023. 1.B  Ruderhorn mit 3Punktbefestig. blau,7.82,EUR,1,1,Online,,,de,idealo
MB-0003,2016-04-12T13:06:40,Online,eBay - rc-toy,,"1023. 1.B  Graupner Ruderhorn mit 3Punktbefestig., blau",8.99,EUR,1,1,Online,,,de,idealo
MB-0004,2016-04-12T13:06:40,Online,rc-toy.de,,"1023. 1.G - Graupner Ruderhorn mit 3-Punktbefestig., gelb",7.77,EUR,1,1,Online,,,de,idealo
MB-0004,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 1023. 1.G  Ruderhorn mit 3Punktbefestig. gelb,7.82,EUR,1,1,Online,,,de,idealo
MB-0005,2016-04-12T13:06:40,Online,rc-toy.de,,90191. 25 - Graupner Halterung Stabilisator,7.75,EUR,1,1,Online,,,de,idealo
MB-0005,2016-04-12T13:06:40,Online,d-edition.de,,Graupner Halterung Stabilisator,7.79,EUR,1,1,Online,,,de,idealo
MB-0005,2016-04-12T13:06:40,Online,Amazon Marketplace,,Graupner 90191. 25  Halterung Stabilisator,7.82,EUR,1,1,Online,,,de,idealo
MB-0005,2016-04-12T13:06:40,Online,eBay - rc-toy,,90191. 25  Graupner Halterung Stabilisator,8.99,EUR,1,1,Online,,,de,idealo
